,Success,Fail,Views,FailAvgDuration,SuccessAvgDuration,TotalAvgDuration,Start_Time,End_Time,AvgSessionDuration,Sessions,RatioFS,RatioFV,DTW_FV,DTW_SV,DTW_FS
5.0.302.154 (production#bbdfe15.151026-1949),19208,49,10439,11478.4697265625,123.8698501586914,144.99742126464844,2015-10-27,2015-11-01,1939.986572265625,901,0.002551020275352964,0.0046939357511317425,0.7350662268106436,0.13757720258652295,0.8050579687469037
5.0.302.115 (production#8880dc4.150924-1754),395,1,0,90393.0,0.0,228.26515197753903,2015-10-01,2015-10-03,6639.50634765625,8,0.002531639160407189,1000.0,1.5,1.5,3.841109600098538
5.0.302.143 (production#b0fe9af.151019-1824),89070,213,52878,20439.638671875,16627.72265625,16555.66796875,2015-10-19,2015-10-25,1739.98046875,3573,0.0023913775413564892,0.004028140171183854,0.4398289501974167,0.10769890965204781,0.46702472962778224
5.0.302.137 (production#8378549.151015-1414),112240,259,44349,20787.158203125,18925.24609375,18925.240234375,2015-10-15,2015-10-24,2168.293212890625,3593,0.0023075552182149394,0.0058400413574141155,0.4991930313374795,0.17308206171166135,0.512533721736418
5.0.302.138 (production#7636a60.151016-1015),29727,65,4861,14069.9072265625,115.37360382080078,143.21238708496094,2015-10-16,2015-10-22,3213.335205078125,494,0.002186564329176697,0.013371731460248618,0.4871700268492737,0.4280884456922713,0.6662573081014964
5.0.302.242 (production#4067b52.151218-1608),6695,8,348,11884.75,56.89290237426758,56.89138793945313,2016-01-01,2016-01-13,13557.384765625,100,0.0011949214047914257,0.0229884396883917,1.2698590737314503,0.83592290571704,1.2725352551479832
5.0.302.119 (production#411a55a.150926-1616),9402,7,632,16779018.0,0.0,12998.353515625,2015-10-01,2015-10-08,7513.37744140625,220,0.0007445223628459517,0.011075931841879995,0.7272191038933485,0.4374027894574609,1.0030214803282647
5.0.302.238 (production#c121934.151216-1414),161,0,40,0.0,0.0,0.0,2016-01-01,2016-01-06,19500.05859375,3,0.0,0.0,1.5,1.5176265953339685,1.5
5.0.302.135 (production#9d801fa.151014-1445),778,0,272,0.0,0.0,0.0,2015-10-15,2015-10-20,878.4395141601562,62,0.0,0.0,1.5,0.23547683148728848,1.5
5.0.302.241 (production#c3f3606.151218-1117),242,0,0,0.0,0.0,0.0,2016-01-01,2016-01-06,13500.1318359375,4,0.0,0.0,0.0,1.5,1.5
5.0.302.117 (production#d43cf12.150925-1400),1152,0,77,0.0,0.0,0.0,2015-10-01,2015-10-03,12502.8837890625,18,0.0,0.0,1.5,0.6373389272957312,1.5
5.0.302.234 (production#9e3b41d.151210-1309),56,0,10,0.0,0.0,0.0,2016-01-01,2016-01-06,26843.70703125,5,0.0,0.0,1.5,8.56410168186505,1.5
